MentionSource|tone(all)|count(all)|tone(trump)|count(trump)|tone(trump_pres)|count(trump_pres)|tone(trump_cand)|count(trump_cand)|tone(obama)|count(obama)|tone(clinton)|count(clinton)|tone(charlottesville)|count(charlottesville)|tone(anthem)|count(anthem)|tone(inauguration)|count(inauguration)|tone(mueller)|count(mueller)|tone(tariff)|count(tariff)|prediction
nytimes.com|-2.929305379091395|430082|-2.191506326240715|0.08798089666621714|-2.275714513398628|0.06473881724880372|-2.01274103843685|0.004582846991968974|-1.6881512420038771|0.015438916299682387|-1.3504469882855894|0.012799884673155352|-4.813534898776734|0.001253249380350724|-2.1487393215871773|0.00012090717584088616|-1.4856619500903168|0.0011509433084853585|-2.810777464759561|0.002627405936542334|-2.299248412736852|0.0014276347301212327|0
theblaze.com|-3.3632377512664715|104127|-2.3284444417633443|0.14955775159180615|-2.596077632240448|0.08125654249138071|-1.775175630174032|0.011812498199314299|-2.18124274392598|0.053329107724221385|-1.8736455765750042|0.042765084944346804|-5.697554418097244|0.00156539610283596|-3.153902848561605|0.00020167679852487827|-1.1797248949395849|0.0009027437648256456|-2.8378810175950977|0.0033132616900515715|-2.09028022126718|0.0016902436447799323|2
aljazeera.com|-4.588504912864824|121208|-3.0128316313904273|0.059930037621279124|-3.0990015613829436|0.049584185862319316|-2.870898336803098|0.0025328361164279585|-2.8755764785408973|0.011550392713352254|-1.7643306256480245|0.00431489670648802|-6.869820828186838|0.0007837766484060458|-3.9425928252083913|5.775196356676127e-05|-2.4739839836608533|0.0003547620619101049|-3.4096474046782244|0.0010477856247112403|-3.021344239513079|0.0008415286119728071|2
reuters.com|-3.1591610461420343|1936940|-2.4295934593671484|0.07110545499602466|-2.4545486867745794|0.06713992173221679|-2.490171850355682|0.00044709696738153996|-1.8471453161474884|0.003799807944489762|-2.01580985960501|0.0016665462017408904|-6.503255715098562|0.00016314392805146262|-0.12866989992986058|0.0001621113715448078|-2.9029784434371524|0.00026485074395696305|-4.15013086893554|0.001093993618800789|-2.08819780121047|0.006104474067343335|2
politico.com|-1.747020809103886|163635|-1.9614328193008868|0.3264032755828521|-2.0691479368175183|0.23080636783084305|-1.621229823177934|0.014092339658386042|-1.6293074892738242|0.05287377394811624|-1.412281309979913|0.05136431692486326|-5.3734784750487865|0.0015522351575152015|-1.4883032441139221|3.666697222476854e-05|-1.3332088179385182|0.0013627891343538975|-2.9074566399997797|0.012980108167568062|-1.6583556626493392|0.005903382528187735|0
newsmax.com|-2.808111125242859|280188|-2.081803976382964|0.15311862035490456|-2.2228355378901807|0.11520479106885377|-1.800239847683946|0.009682784416177708|-2.0974743635547903|0.02224220880266107|-1.744222861932807|0.016806572729738605|-5.669489175413621|0.0009600696675089583|-0.7091276839722035|0.0001534683855125844|-1.5512557537434344|0.0005960283809442232|-3.0266137011555285|0.01096763601581795|-2.4088877733370557|0.0035868773823290075|0
bloomberg.com|-1.9897144171315497|328800|-1.9443822091869531|0.09278588807785888|-2.032739084355575|0.07169099756690997|-1.280240804828926|0.003768248175182482|-1.8283626781332405|0.016453771289537712|-1.1520407516443154|0.011134428223844282|-6.122144407696194|0.00021897810218978101|-1.138771889036271|0.0004075425790754258|-1.6518696480327182|0.00019160583941605838|-3.161335708234342|0.003391119221411192|-2.296049147321467|0.004160583941605839|0
washingtonpost.com|-3.467356096989976|954479|-2.1292907660933604|0.13395684975782599|-2.2238689225195274|0.09952026183918138|-1.9088390499929941|0.005984416629386293|-1.7151680306823132|0.01986319238034572|-1.262819168868996|0.01817640828137654|-5.350613617603451|0.0012656119202203505|0.3805189209174266|0.00011838919452392352|-2.191009998480056|0.0009848304677211336|-3.1622028353311147|0.0031776497963810625|-2.715497715461121|0.0019686132434553302|0
wsj.com|-2.1724502586387344|160303|-1.724754734160227|0.10387204231985678|-1.8325352383334783|0.06608734708645503|-1.6743559282213922|0.005895086180545591|-1.800490898800892|0.01986238560725626|-1.3921842490441534|0.020517395182872437|-5.3504508425082475|0.0006986768806572553|-1.262715780399215|0.00044291123684522436|-0.7356473833699769|0.0004928167283207426|-3.074580147933903|0.0026013237431613883|-2.0414810828318277|0.0039986775044758985|0
usatoday.com|-2.3366446546412|220433|-2.133843826709411|0.15853343192716154|-2.3020471228393125|0.11417074575948247|-1.9165147059020542|0.008097698620442493|-1.2347445975414808|0.033252734390948724|-1.274765303641006|0.026225655868222997|-5.24262952851698|0.0018645121193287756|0.8263079637830908|0.00024950892107806|-1.2294101442865264|0.0012838368120925633|-3.292610311259826|0.00609709072598023|-2.495475204277692|0.002399822168187159|0
